html,year,title,book_img,creator,book_url,book_urn,book_text
"<div class=""item-ia mobile-header hidden-tiles"" data-id=""__mobile_header__"">
<div class=""views C C1"">
<span aria-hidden=""true"" class=""iconochive-eye""></span><span class=""sr-only"">eye</span> </div>
<div class=""C234"">
<div class=""C C2"">Title</div>
<div class=""pubdate C C3""><div><div>Date Published</div></div></div>
<div class=""by C C4"">Creator</div>
</div>
<div class=""C C5""></div>
</div>",,,,,,,
"<div class=""item-ia"" data-id=""100works00solo"" data-mediatype=""texts"" data-year=""1982"">
<a class=""stealth"" href=""/details/guggenheimmuseum"" tabindex=""-1"">
<div class=""item-parent"">
<div class=""item-parent-img"" style=""background-image: url('/services/img/guggenheimmuseum')""></div>
<div class=""item-parent-ttl"">the Solomon R. Guggenheim Museum</div>
</div><!--/.item-parent-->
</a>
<div class=""hidden-tiles views C C1"">
<nobr class=""hidden-xs"">2,958</nobr>
<nobr class=""hidden-sm hidden-md hidden-lg"">3.0K</nobr>
</div>
<div class=""C234"">
<div class="" item-ttl C C2 "">
<a data-event-click-tracking=""GenericNonCollection|ItemTile"" href=""/details/100works00solo"" title=""100 works : Peggy Guggenheim Collection = 100 opere : Collezione Peggy Guggenheim"">
<div class=""tile-img"">
<img class=""item-img "" source=""/services/img/100works00solo"" style=""height:254px""/>
</div><!--/.tile-img-->
<div class=""ttl"">
                100 works : Peggy Guggenheim Collection = 100 opere : Collezione Peggy Guggenheim              </div>
</a>
</div>
<div class=""hidden-tiles pubdate C C3"">
<nobr class=""hidden-xs"">1982</nobr>
<nobr class=""hidden-sm hidden-md hidden-lg"">1982</nobr>
</div>
<div class=""by C C4"">
<span class=""hidden-lists"">by</span>
<span class=""byv"" title=""Solomon R. Guggenheim Foundation; Peggy Guggenheim Collection"">Solomon R. Guggenheim Foundation; Peggy Guggenheim Collection</span>
</div><!--/.C4-->
</div><!--/.C234-->
<div class=""statbar "">
<div class=""mt-icon C C5"">
<span aria-hidden=""true"" class=""iconochive-texts""></span><span class=""sr-only"">texts</span> </div>
<h6 class=""stat "">
<span aria-hidden=""true"" class=""iconochive-eye""></span><span class=""sr-only"">eye</span> <nobr>2,958</nobr>
</h6>
<h6 class=""stat"">
<span aria-hidden=""true"" class=""iconochive-favorite""></span><span class=""sr-only"">favorite</span>            6          </h6>
<h6 class=""stat"">
<span aria-hidden=""true"" class=""iconochive-comment""></span><span class=""sr-only"">comment</span>              0            </h6>
</div><!--/.statbar-->
</div>",1945,In memory of Wassily Kandinsky : the Solomon R. Guggenheim Foundation presents a survey of the artist's paintings and writings,/services/img/inmemoryofwassil00reba,"Rebay, Hilla",/details/inmemoryofwassil00reba,inmemoryofwassil00reba,https://archive.org/stream/inmemoryofwassil00reba/inmemoryofwassil00reba_djvu.txt
"<div class=""item-ia"" data-id=""19artistsemergen00solo"" data-mediatype=""texts"" data-year=""1981"">
<a class=""stealth"" href=""/details/guggenheimmuseum"" tabindex=""-1"">
<div class=""item-parent"">
<div class=""item-parent-img"" style=""background-image: url('/services/img/guggenheimmuseum')""></div>
<div class=""item-parent-ttl"">the Solomon R. Guggenheim Museum</div>
</div><!--/.item-parent-->
</a>
<div class=""hidden-tiles views C C1"">
<nobr class=""hidden-xs"">3,013</nobr>
<nobr class=""hidden-sm hidden-md hidden-lg"">3.0K</nobr>
</div>
<div class=""C234"">
<div class="" item-ttl C C2 "">
<a data-event-click-tracking=""GenericNonCollection|ItemTile"" href=""/details/19artistsemergen00solo"" title=""19 artists, Emergent Americans : 1981 Exxon national exhibition, the Solomon R. Guggenheim Museum, New York"">
<div class=""tile-img"">
<img class=""item-img "" source=""/services/img/19artistsemergen00solo"" style=""height:204px""/>
</div><!--/.tile-img-->
<div class=""ttl"">
                19 artists, Emergent Americans : 1981 Exxon national exhibition, the Solomon R. Guggenheim Museum, New York              </div>
</a>
</div>
<div class=""hidden-tiles pubdate C C3"">
<nobr class=""hidden-xs"">1981</nobr>
<nobr class=""hidden-sm hidden-md hidden-lg"">1981</nobr>
</div>
<div class=""by C C4"">
<span class=""hidden-lists"">by</span>
<span class=""byv"" title=""Solomon R. Guggenheim Museum; Exxon Corporation"">Solomon R. Guggenheim Museum; Exxon Corporation</span>
</div><!--/.C4-->
</div><!--/.C234-->
<div class=""statbar "">
<div class=""mt-icon C C5"">
<span aria-hidden=""true"" class=""iconochive-texts""></span><span class=""sr-only"">texts</span> </div>
<h6 class=""stat "">
<span aria-hidden=""true"" class=""iconochive-eye""></span><span class=""sr-only"">eye</span> <nobr>3,013</nobr>
</h6>
<h6 class=""stat"">
<span aria-hidden=""true"" class=""iconochive-favorite""></span><span class=""sr-only"">favorite</span>            7          </h6>
<h6 class=""stat"">
<span aria-hidden=""true"" class=""iconochive-comment""></span><span class=""sr-only"">comment</span>              0            </h6>
</div><!--/.statbar-->
</div>",1996,"In/sight : African photographers, 1940 to the present : [Solomon R. Guggenheim Museum, May 24-September 29, 1996",/images/notfound.png,"Bell, Clare; Solomon R. Guggenheim Museum",/details/insightafr00bell,insightafr00bell,https://archive.org/stream/insightafr00bell/insightafr00bell_djvu.txt
"<div class=""item-ia"" data-id=""60worksp00pegg"" data-mediatype=""texts"" data-year=""1982"">
<a class=""stealth"" href=""/details/guggenheimmuseum"" tabindex=""-1"">
<div class=""item-parent"">
<div class=""item-parent-img"" style=""background-image: url('/services/img/guggenheimmuseum')""></div>
<div class=""item-parent-ttl"">the Solomon R. Guggenheim Museum</div>
</div><!--/.item-parent-->
</a>
<div class=""hidden-tiles views C C1"">
<nobr class=""hidden-xs"">2,212</nobr>
<nobr class=""hidden-sm hidden-md hidden-lg"">2.2K</nobr>
</div>
<div class=""C234"">
<div class="" item-ttl C C2 "">
<a data-event-click-tracking=""GenericNonCollection|ItemTile"" href=""/details/60worksp00pegg"" title=""60 works, the Peggy Guggenheim Collection : [exhibition] the Solomon R. Guggenheim Museum, New York"">
<div class=""tile-img"">
<img class=""item-img "" source=""/services/img/60worksp00pegg"" style=""height:253px""/>
</div><!--/.tile-img-->
<div class=""ttl"">
                60 works, the Peggy Guggenheim Collection : [exhibition] the Solomon R. Guggenheim Museum, New York              </div>
</a>
</div>
<div class=""hidden-tiles pubdate C C3"">
<nobr class=""hidden-xs"">1982</nobr>
<nobr class=""hidden-sm hidden-md hidden-lg"">1982</nobr>
</div>
<div class=""by C C4"">
<span class=""hidden-lists"">by</span>
<span class=""byv"" title=""Peggy Guggenheim Collection; Solomon R. Guggenheim Museum"">Peggy Guggenheim Collection; Solomon R. Guggenheim Museum</span>
</div><!--/.C4-->
</div><!--/.C234-->
<div class=""statbar "">
<div class=""mt-icon C C5"">
<span aria-hidden=""true"" class=""iconochive-texts""></span><span class=""sr-only"">texts</span> </div>
<h6 class=""stat "">
<span aria-hidden=""true"" class=""iconochive-eye""></span><span class=""sr-only"">eye</span> <nobr>2,212</nobr>
</h6>
<h6 class=""stat"">
<span aria-hidden=""true"" class=""iconochive-favorite""></span><span class=""sr-only"">favorite</span>            6          </h6>
<h6 class=""stat"">
<span aria-hidden=""true"" class=""iconochive-comment""></span><span class=""sr-only"">comment</span>              0            </h6>
</div><!--/.statbar-->
</div>",1996,"In/sight : African photographers, 1940 to the present : [Solomon R. Guggenheim Museum, May 24-September 29, 1996",/services/img/africph00bell,"Bell, Clare; Solomon R. Guggenheim Museum",/details/africph00bell,africph00bell,https://archive.org/stream/africph00bell/africph00bell_djvu.txt
"<div class=""item-ia"" data-id=""centuryincrisism00andr"" data-mediatype=""texts"" data-year=""1998"">
<a class=""stealth"" href=""/details/guggenheimmuseum"" tabindex=""-1"">
<div class=""item-parent"">
<div class=""item-parent-img"" style=""background-image: url('/services/img/guggenheimmuseum')""></div>
<div class=""item-parent-ttl"">the Solomon R. Guggenheim Museum</div>
</div><!--/.item-parent-->
</a>
<div class=""hidden-tiles views C C1"">
<nobr class=""hidden-xs"">9,935</nobr>
<nobr class=""hidden-sm hidden-md hidden-lg"">9.9K</nobr>
</div>
<div class=""C234"">
<div class="" item-ttl C C2 "">
<a data-event-click-tracking=""GenericNonCollection|ItemTile"" href=""/details/centuryincrisism00andr"" title=""A century in crisis : modernity and tradition in the art of twentieth-century China"">
<div class=""tile-img"">
<img class=""item-img "" source=""/services/img/centuryincrisism00andr"" style=""height:249px""/>
</div><!--/.tile-img-->
<div class=""ttl"">
                A century in crisis : modernity and tradition in the art of twentieth-century China              </div>
</a>
</div>
<div class=""hidden-tiles pubdate C C3"">
<nobr class=""hidden-xs"">1998</nobr>
<nobr class=""hidden-sm hidden-md hidden-lg"">1998</nobr>
</div>
<div class=""by C C4"">
<span class=""hidden-lists"">by</span>
<span class=""byv"" title=""Andrews, Julia Frances; Shen, Kuiyi, 1954-; Spence, Jonathan D; Solomon R. Guggenheim Museum"">Andrews, Julia Frances; Shen, Kuiyi, 1954-; Spence, Jonathan D; Solomon R. Guggenheim Museum</span>
</div><!--/.C4-->
</div><!--/.C234-->
<div class=""statbar "">
<div class=""mt-icon C C5"">
<span aria-hidden=""true"" class=""iconochive-texts""></span><span class=""sr-only"">texts</span> </div>
<h6 class=""stat "">
<span aria-hidden=""true"" class=""iconochive-eye""></span><span class=""sr-only"">eye</span> <nobr>9,935</nobr>
</h6>
<h6 class=""stat"">
<span aria-hidden=""true"" class=""iconochive-favorite""></span><span class=""sr-only"">favorite</span>            13          </h6>
<h6 class=""stat"">
<span aria-hidden=""true"" class=""iconochive-comment""></span><span class=""sr-only"">comment</span>              0            </h6>
</div><!--/.statbar-->
</div>",1982,Italian art now : an American perspective : 1982 Exxon international exhibition,/services/img/italianartnowame00wald,"Waldman, Diane",/details/italianartnowame00wald,italianartnowame00wald,https://archive.org/stream/italianartnowame00wald/italianartnowame00wald_djvu.txt
"<div class=""item-ia"" data-id=""sculptu00nash"" data-mediatype=""texts"" data-year=""1996"">
<a class=""stealth"" href=""/details/guggenheimmuseum"" tabindex=""-1"">
<div class=""item-parent"">
<div class=""item-parent-img"" style=""background-image: url('/services/img/guggenheimmuseum')""></div>
<div class=""item-parent-ttl"">the Solomon R. Guggenheim Museum</div>
</div><!--/.item-parent-->
</a>
<div class=""hidden-tiles views C C1"">
<nobr class=""hidden-xs"">3,039</nobr>
<nobr class=""hidden-sm hidden-md hidden-lg"">3.0K</nobr>
</div>
<div class=""C234"">
<div class="" item-ttl C C2 "">
<a data-event-click-tracking=""GenericNonCollection|ItemTile"" href=""/details/sculptu00nash"" title=""A century of sculpture : the Nasher collection"">
<div class=""tile-img"">
<img class=""item-img "" source=""/services/img/sculptu00nash"" style=""height:212px""/>
</div><!--/.tile-img-->
<div class=""ttl"">
                A century of sculpture : the Nasher collection              </div>
</a>
</div>
<div class=""hidden-tiles pubdate C C3"">
<nobr class=""hidden-xs"">1996</nobr>
<nobr class=""hidden-sm hidden-md hidden-lg"">1996</nobr>
</div>
<div class=""by C C4"">
<span class=""hidden-lists"">by</span>
<span class=""byv"" title=""Nash, Steven A., 1944-; Giménez, Carmen; Solomon R. Guggenheim Museum; Fine Arts Museums of San Francisco"">Nash, Steven A., 1944-; Giménez, Carmen; Solomon R. Guggenheim Museum; Fine Arts Museums of San Francisco</span>
</div><!--/.C4-->
</div><!--/.C234-->
<div class=""statbar "">
<div class=""mt-icon C C5"">
<span aria-hidden=""true"" class=""iconochive-texts""></span><span class=""sr-only"">texts</span> </div>
<h6 class=""stat "">
<span aria-hidden=""true"" class=""iconochive-eye""></span><span class=""sr-only"">eye</span> <nobr>3,039</nobr>
</h6>
<h6 class=""stat"">
<span aria-hidden=""true"" class=""iconochive-favorite""></span><span class=""sr-only"">favorite</span>            7          </h6>
<h6 class=""stat"">
<span aria-hidden=""true"" class=""iconochive-comment""></span><span class=""sr-only"">comment</span>              0            </h6>
</div><!--/.statbar-->
</div>",1982,"Jack Tworkov: fifteen years of painting : The Solomon R. Guggenheim Museum, New York",/services/img/jackfifte00twor,"Tworkov, Jack; Forge, Andrew; Solomon R. Guggenheim Museum",/details/jackfifte00twor,jackfifte00twor,https://archive.org/stream/jackfifte00twor/jackfifte00twor_djvu.txt
"<div class=""item-ia"" data-id=""acquisitionsof1900reba"" data-mediatype=""texts"" data-year=""1968"">
<a class=""stealth"" href=""/details/guggenheimmuseum"" tabindex=""-1"">
<div class=""item-parent"">
<div class=""item-parent-img"" style=""background-image: url('/services/img/guggenheimmuseum')""></div>
<div class=""item-parent-ttl"">the Solomon R. Guggenheim Museum</div>
</div><!--/.item-parent-->
</a>
<div class=""hidden-tiles views C C1"">
<nobr class=""hidden-xs"">2,419</nobr>
<nobr class=""hidden-sm hidden-md hidden-lg"">2.4K</nobr>
</div>
<div class=""C234"">
<div class="" item-ttl C C2 "">
<a data-event-click-tracking=""GenericNonCollection|ItemTile"" href=""/details/acquisitionsof1900reba"" title=""Acquisitions of the 1930's and 1940's : a selection of paintings, watercolors, and drawings in tribute to Baroness Hilla von Rebay, 1890-1967"">
<div class=""tile-img"">
<img class=""item-img "" source=""/services/img/acquisitionsof1900reba"" style=""height:266px""/>
</div><!--/.tile-img-->
<div class=""ttl"">
                Acquisitions of the 1930's and 1940's : a selection of paintings, watercolors, and drawings in tribute to Baroness Hilla von Rebay, 1890-1967              </div>
</a>
</div>
<div class=""hidden-tiles pubdate C C3"">
<nobr class=""hidden-xs"">1968</nobr>
<nobr class=""hidden-sm hidden-md hidden-lg"">1968</nobr>
</div>
<div class=""by C C4"">
<span class=""hidden-lists"">by</span>
<span class=""byv"" title=""Rebay, Hilla; Solomon R. Guggenheim Museum ."">Rebay, Hilla; Solomon R. Guggenheim Museum .</span>
</div><!--/.C4-->
</div><!--/.C234-->
<div class=""statbar "">
<div class=""mt-icon C C5"">
<span aria-hidden=""true"" class=""iconochive-texts""></span><span class=""sr-only"">texts</span> </div>
<h6 class=""stat "">
<span aria-hidden=""true"" class=""iconochive-eye""></span><span class=""sr-only"">eye</span> <nobr>2,419</nobr>
</h6>
<h6 class=""stat"">
<span aria-hidden=""true"" class=""iconochive-favorite""></span><span class=""sr-only"">favorite</span>            5          </h6>
<h6 class=""stat"">
<span aria-hidden=""true"" class=""iconochive-comment""></span><span class=""sr-only"">comment</span>              0            </h6>
</div><!--/.statbar-->
</div>",1986,Jack Youngerman,/services/img/jackyoungerman00wald,"Waldman, Diane; Youngerman, Jack; Solomon R. Guggenheim Museum .",/details/jackyoungerman00wald,jackyoungerman00wald,https://archive.org/stream/jackyoungerman00wald/jackyoungerman00wald_djvu.txt
"<div class=""item-ia"" data-id=""adreinhardtcolor00solo"" data-mediatype=""texts"" data-year=""1980"">
<a class=""stealth"" href=""/details/guggenheimmuseum"" tabindex=""-1"">
<div class=""item-parent"">
<div class=""item-parent-img"" style=""background-image: url('/services/img/guggenheimmuseum')""></div>
<div class=""item-parent-ttl"">the Solomon R. Guggenheim Museum</div>
</div><!--/.item-parent-->
</a>
<div class=""hidden-tiles views C C1"">
<nobr class=""hidden-xs"">3,571</nobr>
<nobr class=""hidden-sm hidden-md hidden-lg"">3.6K</nobr>
</div>
<div class=""C234"">
<div class="" item-ttl C C2 "">
<a data-event-click-tracking=""GenericNonCollection|ItemTile"" href=""/details/adreinhardtcolor00solo"" title=""Ad Reinhardt and Color"">
<div class=""tile-img"">
<img class=""item-img "" source=""/services/img/adreinhardtcolor00solo"" style=""height:213px""/>
</div><!--/.tile-img-->
<div class=""ttl"">
                Ad Reinhardt and Color              </div>
</a>
</div>
<div class=""hidden-tiles pubdate C C3"">
<nobr class=""hidden-xs"">1980</nobr>
<nobr class=""hidden-sm hidden-md hidden-lg"">1980</nobr>
</div>
<div class=""by C C4"">
<span class=""hidden-lists"">by</span>
<span class=""byv"" title=""Solomon R. Guggenheim Museum; Japan Art Festival Association"">Solomon R. Guggenheim Museum; Japan Art Festival Association</span>
</div><!--/.C4-->
</div><!--/.C234-->
<div class=""statbar "">
<div class=""mt-icon C C5"">
<span aria-hidden=""true"" class=""iconochive-texts""></span><span class=""sr-only"">texts</span> </div>
<h6 class=""stat "">
<span aria-hidden=""true"" class=""iconochive-eye""></span><span class=""sr-only"">eye</span> <nobr>3,571</nobr>
</h6>
<h6 class=""stat"">
<span aria-hidden=""true"" class=""iconochive-favorite""></span><span class=""sr-only"">favorite</span>            6          </h6>
<h6 class=""stat"">
<span aria-hidden=""true"" class=""iconochive-comment""></span><span class=""sr-only"">comment</span>              0            </h6>
</div><!--/.statbar-->
</div>",1956,"Jacques Villon, Raymond Duchamp-Villon [and] Marcel Duchamp, 1957. January 8 to February 17, the Solomon R. Guggenheim Museum, New York; the Museum of Fine Arts of Houston, March 8 to April 8",/services/img/jacquesvillonray00solo,"Solomon R. Guggenheim Museum; Museum of Fine Arts, Houston",/details/jacquesvillonray00solo,jacquesvillonray00solo,https://archive.org/stream/jacquesvillonray00solo/jacquesvillonray00solo_djvu.txt
"<div class=""item-ia"" data-id=""aftermo00fran"" data-mediatype=""texts"" data-year=""1998"">
<a class=""stealth"" href=""/details/guggenheimmuseum"" tabindex=""-1"">
<div class=""item-parent"">
<div class=""item-parent-img"" style=""background-image: url('/services/img/guggenheimmuseum')""></div>
<div class=""item-parent-ttl"">the Solomon R. Guggenheim Museum</div>
</div><!--/.item-parent-->
</a>
<div class=""hidden-tiles views C C1"">
<nobr class=""hidden-xs"">4,248</nobr>
<nobr class=""hidden-sm hidden-md hidden-lg"">4.2K</nobr>
</div>
<div class=""C234"">
<div class="" item-ttl C C2 "">
<a data-event-click-tracking=""GenericNonCollection|ItemTile"" href=""/details/aftermo00fran"" title=""After Mountains and Sea : Frankenthaler 1956-1959"">
<div class=""tile-img"">
<img class=""item-img "" source=""/services/img/aftermo00fran"" style=""height:210px""/>
</div><!--/.tile-img-->
<div class=""ttl"">
                After Mountains and Sea : Frankenthaler 1956-1959              </div>
</a>
</div>
<div class=""hidden-tiles pubdate C C3"">
<nobr class=""hidden-xs"">1998</nobr>
<nobr class=""hidden-sm hidden-md hidden-lg"">1998</nobr>
</div>
<div class=""by C C4"">
<span class=""hidden-lists"">by</span>
<span class=""byv"" title=""Frankenthaler, Helen, 1928-; Solomon R. Guggenheim Museum"">Frankenthaler, Helen, 1928-; Solomon R. Guggenheim Museum</span>
</div><!--/.C4-->
</div><!--/.C234-->
<div class=""statbar "">
<div class=""mt-icon C C5"">
<span aria-hidden=""true"" class=""iconochive-texts""></span><span class=""sr-only"">texts</span> </div>
<h6 class=""stat "">
<span aria-hidden=""true"" class=""iconochive-eye""></span><span class=""sr-only"">eye</span> <nobr>4,248</nobr>
</h6>
<h6 class=""stat"">
<span aria-hidden=""true"" class=""iconochive-favorite""></span><span class=""sr-only"">favorite</span>            9          </h6>
<h6 class=""stat"">
<span aria-hidden=""true"" class=""iconochive-comment""></span><span class=""sr-only"">comment</span>              0            </h6>
</div><!--/.statbar-->
</div>",2003,James Rosenquist : a retrospective,/services/img/enquistr00rose,"Rosenquist, James, 1933-; Hopps, Walter; Bancroft, Sarah; Menil Collection (Houston, Tex.); Museum of Fine Arts, Houston; Solomon R. Guggenheim Museum; Museo Guggenheim Bilbao",/details/enquistr00rose,enquistr00rose,https://archive.org/stream/enquistr00rose/enquistr00rose_djvu.txt
"<div class=""item-ia"" data-id=""albertgleizes1881robb"" data-mediatype=""texts"" data-year=""1964"">
<a class=""stealth"" href=""/details/guggenheimmuseum"" tabindex=""-1"">
<div class=""item-parent"">
<div class=""item-parent-img"" style=""background-image: url('/services/img/guggenheimmuseum')""></div>
<div class=""item-parent-ttl"">the Solomon R. Guggenheim Museum</div>
</div><!--/.item-parent-->
</a>
<div class=""hidden-tiles views C C1"">
<nobr class=""hidden-xs"">6,432</nobr>
<nobr class=""hidden-sm hidden-md hidden-lg"">6.4K</nobr>
</div>
<div class=""C234"">
<div class="" item-ttl C C2 "">
<a data-event-click-tracking=""GenericNonCollection|ItemTile"" href=""/details/albertgleizes1881robb"" title=""Albert Gleizes, 1881-1953 : a retrospective exhibition"">
<div class=""tile-img"">
<img class=""item-img "" source=""/services/img/albertgleizes1881robb"" style=""height:233px""/>
</div><!--/.tile-img-->
<div class=""ttl"">
                Albert Gleizes, 1881-1953 : a retrospective exhibition              </div>
</a>
</div>
<div class=""hidden-tiles pubdate C C3"">
<nobr class=""hidden-xs"">1964</nobr>
<nobr class=""hidden-sm hidden-md hidden-lg"">1964</nobr>
</div>
<div class=""by C C4"">
<span class=""hidden-lists"">by</span>
<span class=""byv"" title=""Robbins, Daniel"">Robbins, Daniel</span>
</div><!--/.C4-->
</div><!--/.C234-->
<div class=""statbar "">
<div class=""mt-icon C C5"">
<span aria-hidden=""true"" class=""iconochive-texts""></span><span class=""sr-only"">texts</span> </div>
<h6 class=""stat "">
<span aria-hidden=""true"" class=""iconochive-eye""></span><span class=""sr-only"">eye</span> <nobr>6,432</nobr>
</h6>
<h6 class=""stat"">
<span aria-hidden=""true"" class=""iconochive-favorite""></span><span class=""sr-only"">favorite</span>            5          </h6>
<h6 class=""stat"">
<span aria-hidden=""true"" class=""iconochive-comment""></span><span class=""sr-only"">comment</span>              0            </h6>
</div><!--/.statbar-->
</div>",1999,James Rosenquist : the swimmer in the econo-mist,/services/img/rosenquis00rose,"Rosenblum, Robert; Deutsche Guggenheim Berlin",/details/rosenquis00rose,rosenquis00rose,https://archive.org/stream/rosenquis00rose/rosenquis00rose_djvu.txt
